Position X,Position Y,Position Z,Scale X,Scale Y,Scale Z
0.0,0.0,0,1.0,1.0,1.0
33607.32,57557.94,0,3600.0,3600.0,3600.0
33607.32,50372.13,0,3600.0,3600.0,3600.0
41772.32,75693.72,0,2880.0,2880.0,2880.0
33607.32,63724.31,0,3600.0,3600.0,3600.0
33607.32,70021.16,0,3600.0,3600.0,3600.0
71772.32,75693.72,0,2880.0,2880.0,2880.0
61772.32,75693.72,0,2880.0,2880.0,2880.0
111772.32,75693.72,0,2880.0,2880.0,2880.0
81772.32,75693.72,0,2880.0,2880.0,2880.0
131772.32,75693.72,0,2880.0,2880.0,2880.0
0.0,0.0,0,1.0,1.0,1.0
37914.63,-3141.37,0,1.0,1.0,1.0
47914.63,-3141.37,0,1.0,1.0,1.0
67914.63,-3141.37,0,1.0,1.0,1.0
77914.63,-3141.37,0,1.0,1.0,1.0
87914.63,-3141.37,0,1.0,1.0,1.0
97914.63,-3141.37,0,1.0,1.0,1.0
107914.63,-3141.37,0,1.0,1.0,1.0
117914.63,-3141.37,0,1.0,1.0,1.0
127914.63,-3141.37,0,1.0,1.0,1.0
57914.63,-3141.37,0,1.0,1.0,1.0
22714.13,83619.28,0,0.38,0.38,0.38
143523.87,83619.28,0,0.38,0.38,0.38
35679.95,69428.49,0,112.5,112.5,112.5
35679.95,74382.2,0,112.5,112.5,112.5
35679.95,54359.32,0,112.5,112.5,112.5
35679.95,48514.17,0,112.5,112.5,112.5
45712.64,71162.16,0,112.5,112.5,112.5
55601.14,71162.16,0,112.5,112.5,112.5
135601.14,71958.2,0,112.5,112.5,112.5
42934.53,46106.42,0,112.5,112.5,112.5
48036.53,46106.42,0,112.5,112.5,112.5
57983.08,46106.42,0,112.5,112.5,112.5
65618.79,46134.64,0,112.5,112.5,112.5
35609.29,45754.68,0,112.5,112.5,112.5
98018.84,46106.42,0,112.5,112.5,112.5
135601.14,67134.51,0,112.5,112.5,112.5
41292.9,-9914.96,0,112.5,112.5,112.5
35679.95,-1515.4,0,112.5,112.5,112.5
24029.73,1491.95,0,0.38,0.38,0.38
48036.53,-13689.66,0,112.5,112.5,112.5
45514.63,49849.1,0,-1.0,1.0,1.0
45514.63,50969.1,0,1.0,1.0,1.0
44924.63,52049.1,0,1.0,1.0,1.0
36814.63,53349.1,0,1.0,1.0,1.0
36814.63,43463.1,0,1.0,1.0,1.0
46814.63,53349.1,0,1.0,1.0,1.0
46814.63,43463.1,0,1.0,1.0,1.0
56814.63,43463.1,0,1.0,1.0,1.0
56814.63,53349.1,0,1.0,1.0,1.0
66814.63,43463.1,0,1.0,1.0,1.0
66814.63,53349.1,0,1.0,1.0,1.0
76814.63,43463.1,0,1.0,1.0,1.0
76814.63,53349.1,0,1.0,1.0,1.0
86814.63,43463.1,0,1.0,1.0,1.0
86814.63,53349.1,0,1.0,1.0,1.0
96814.63,43463.1,0,1.0,1.0,1.0
96814.63,53349.1,0,1.0,1.0,1.0
106814.63,43463.1,0,1.0,1.0,1.0
106814.63,53349.1,0,1.0,1.0,1.0
116814.63,43463.1,0,1.0,1.0,1.0
116814.63,53349.1,0,1.0,1.0,1.0
66814.63,-2525.62,0,1.0,1.0,1.0
76814.63,-2525.62,0,1.0,1.0,1.0
86814.63,-2525.62,0,1.0,1.0,1.0
96814.63,-2525.62,0,1.0,1.0,1.0
106814.63,-2525.62,0,1.0,1.0,1.0
116814.63,-2525.62,0,1.0,1.0,1.0
126814.63,-2525.62,0,1.0,1.0,1.0
136814.63,-2525.62,0,1.0,1.0,1.0
56814.63,-2525.62,0,1.0,1.0,1.0
56814.63,-12411.62,0,1.0,1.0,1.0
66814.63,-12411.62,0,1.0,1.0,1.0
76814.63,-12411.62,0,1.0,1.0,1.0
86814.63,-12411.62,0,1.0,1.0,1.0
96814.63,-12411.62,0,1.0,1.0,1.0
106814.63,-12411.62,0,1.0,1.0,1.0
116814.63,-12411.62,0,1.0,1.0,1.0
46814.63,-2525.62,0,1.0,1.0,1.0
46814.63,-12411.62,0,1.0,1.0,1.0
36814.63,-12411.62,0,1.0,1.0,1.0
36814.63,-2525.62,0,1.0,1.0,1.0
45014.63,49849.1,0,1.0,1.0,1.0
43914.63,48409.1,0,1.0,1.0,1.0
43914.63,49271.6,0,1.0,1.0,1.0
45014.63,48974.1,0,1.0,1.0,1.0
45514.63,48974.1,0,-1.0,1.0,1.0
136814.63,43463.1,0,-1.0,1.0,1.0
137949.32,48514.17,0,-112.5,112.5,112.5
126814.63,43463.1,0,-1.0,1.0,1.0
136814.63,53349.1,0,-1.0,1.0,1.0
126814.63,53349.1,0,-1.0,1.0,1.0
126814.63,-12411.62,0,1.0,1.0,1.0
136814.63,-12411.62,0,1.0,1.0,1.0
43614.63,51404.64,0,1.0,1.0,1.0
86814.63,3126.39,0,1.0,1.0,1.0
93471.13,-2443.12,0,-1.0,1.0,1.0
91815.13,-2443.12,0,1.0,1.0,1.0
90158.13,-2443.12,0,1.0,1.0,1.0
91814.13,-2443.12,0,-1.0,1.0,1.0
96814.63,3126.39,0,1.0,1.0,1.0
103471.13,-2443.12,0,-1.0,1.0,1.0
101815.13,-2443.12,0,1.0,1.0,1.0
100158.13,-2443.12,0,1.0,1.0,1.0
